"trainer/global_step","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - training_batch_wer","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - training_batch_wer__MIN","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - training_batch_wer__MAX","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - _step","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - _step__MIN","canary-finetune_SA_SP_lillelyd_cv-4_27652665 - _step__MAX"
"201","0.07801418751478195","0.07801418751478195","0.07801418751478195","1279","1279","1279"
"202","0.02247191034257412","0.02247191034257412","0.02247191034257412","1280","1280","1280"
"203","0","0","0","1281","1281","1281"
"204","0.07746478915214539","0.07746478915214539","0.07746478915214539","1282","1282","1282"
"205","0","0","0","1283","1283","1283"
"206","0.032258063554763794","0.032258063554763794","0.032258063554763794","1284","1284","1284"
"207","0.02631578966975212","0.02631578966975212","0.02631578966975212","1285","1285","1285"
"208","0.003546099178493023","0.003546099178493023","0.003546099178493023","1286","1286","1286"
"209","0","0","0","1287","1287","1287"
"210","0.020661156624555588","0.020661156624555588","0.020661156624555588","1288","1288","1288"
"211","0.024561403319239616","0.024561403319239616","0.024561403319239616","1289","1289","1289"
"212","0","0","0","1290","1290","1290"
"213","0.0313725508749485","0.0313725508749485","0.0313725508749485","1291","1291","1291"
"214","0.019305018708109856","0.019305018708109856","0.019305018708109856","1292","1292","1292"
"215","0.007092198356986046","0.007092198356986046","0.007092198356986046","1293","1293","1293"
"216","0.010830325074493885","0.010830325074493885","0.010830325074493885","1294","1294","1294"
"217","0.02459016442298889","0.02459016442298889","0.02459016442298889","1295","1295","1295"
"218","0.04659498110413551","0.04659498110413551","0.04659498110413551","1296","1296","1296"
"219","0.03180212154984474","0.03180212154984474","0.03180212154984474","1297","1297","1297"
"220","0.003816793905571103","0.003816793905571103","0.003816793905571103","1298","1298","1298"
"221","0.02777777798473835","0.02777777798473835","0.02777777798473835","1299","1299","1299"
"222","0.05653710290789604","0.05653710290789604","0.05653710290789604","1300","1300","1300"
"223","0","0","0","1455","1455","1455"
"224","0.0357142873108387","0.0357142873108387","0.0357142873108387","1456","1456","1456"
"225","0.01413427572697401","0.01413427572697401","0.01413427572697401","1457","1457","1457"
"226","0.02846975065767765","0.02846975065767765","0.02846975065767765","1458","1458","1458"
"227","0.06910569220781326","0.06910569220781326","0.06910569220781326","1459","1459","1459"
"228","0.11721611768007278","0.11721611768007278","0.11721611768007278","1460","1460","1460"
"229","0.08865248411893845","0.08865248411893845","0.08865248411893845","1461","1461","1461"
"230","0.02247191034257412","0.02247191034257412","0.02247191034257412","1462","1462","1462"
"231","0","0","0","1463","1463","1463"
"232","0.035211268812417984","0.035211268812417984","0.035211268812417984","1464","1464","1464"
"233","0","0","0","1465","1465","1465"
"234","0.07661290466785431","0.07661290466785431","0.07661290466785431","1466","1466","1466"
"235","0","0","0","1467","1467","1467"
"236","0","0","0","1468","1468","1468"
"237","0","0","0","1469","1469","1469"
"238","0","0","0","1470","1470","1470"
"239","0.035087719559669495","0.035087719559669495","0.035087719559669495","1471","1471","1471"
"240","0.007042253389954567","0.007042253389954567","0.007042253389954567","1472","1472","1472"
"241","0.0313725508749485","0.0313725508749485","0.0313725508749485","1473","1473","1473"
"242","0.057915057986974716","0.057915057986974716","0.057915057986974716","1474","1474","1474"
"243","0.003546099178493023","0.003546099178493023","0.003546099178493023","1475","1475","1475"
"244","0","0","0","1476","1476","1476"
"245","0.02459016442298889","0.02459016442298889","0.02459016442298889","1477","1477","1477"
"246","0.01075268816202879","0.01075268816202879","0.01075268816202879","1478","1478","1478"
"247","0.02826855145394802","0.02826855145394802","0.02826855145394802","1479","1479","1479"
"248","0.003816793905571103","0.003816793905571103","0.003816793905571103","1480","1480","1480"
"249","0.003968254197388887","0.003968254197388887","0.003968254197388887","1481","1481","1481"
"250","0.0035335689317435026","0.0035335689317435026","0.0035335689317435026","1482","1482","1482"
"251","0","0","0","1637","1637","1637"
"252","0.02380952425301075","0.02380952425301075","0.02380952425301075","1638","1638","1638"
"253","0","0","0","1639","1639","1639"
"254","0.0035587188322097063","0.0035587188322097063","0.0035587188322097063","1640","1640","1640"
"255","0.03252032399177551","0.03252032399177551","0.03252032399177551","1641","1641","1641"
"256","0.05128205195069313","0.05128205195069313","0.05128205195069313","1642","1642","1642"
"257","0.024822695180773735","0.024822695180773735","0.024822695180773735","1643","1643","1643"
"258","0.01123595517128706","0.01123595517128706","0.01123595517128706","1644","1644","1644"
"259","0","0","0","1645","1645","1645"
"260","0.04929577559232712","0.04929577559232712","0.04929577559232712","1646","1646","1646"
"261","0","0","0","1647","1647","1647"
"262","0","0","0","1648","1648","1648"
"263","0.01879699155688286","0.01879699155688286","0.01879699155688286","1649","1649","1649"
"264","0.010638297535479069","0.010638297535479069","0.010638297535479069","1650","1650","1650"
"265","0","0","0","1651","1651","1651"
"266","0","0","0","1652","1652","1652"
"267","0","0","0","1653","1653","1653"
"268","0.017605634406208992","0.017605634406208992","0.017605634406208992","1654","1654","1654"
"269","0.019607843831181526","0.019607843831181526","0.019607843831181526","1655","1655","1655"
"270","0.0038610037881881","0.0038610037881881","0.0038610037881881","1656","1656","1656"
"271","0.007092198356986046","0.007092198356986046","0.007092198356986046","1657","1657","1657"
"272","0.03249097615480423","0.03249097615480423","0.03249097615480423","1658","1658","1658"
"273","0","0","0","1659","1659","1659"
"274","0.00716845877468586","0.00716845877468586","0.00716845877468586","1660","1660","1660"
"275","0.007067137863487005","0.007067137863487005","0.007067137863487005","1661","1661","1661"
"276","0.003816793905571103","0.003816793905571103","0.003816793905571103","1662","1662","1662"
"277","0.01984127052128315","0.01984127052128315","0.01984127052128315","1663","1663","1663"
"278","0","0","0","1664","1664","1664"
"279","0","0","0","1819","1819","1819"
"280","0.011904762126505375","0.011904762126505375","0.011904762126505375","1820","1820","1820"
"281","0","0","0","1821","1821","1821"
"282","0.07473309338092804","0.07473309338092804","0.07473309338092804","1822","1822","1822"
"283","0.09756097197532654","0.09756097197532654","0.09756097197532654","1823","1823","1823"
"284","0.06593406945466995","0.06593406945466995","0.06593406945466995","1824","1824","1824"
"285","0","0","0","1825","1825","1825"
"286","0","0","0","1826","1826","1826"
"287","0.008097166195511818","0.008097166195511818","0.008097166195511818","1827","1827","1827"
"288","0","0","0","1828","1828","1828"
"289","0.003508772002533078","0.003508772002533078","0.003508772002533078","1829","1829","1829"
"290","0","0","0","1830","1830","1830"
"291","0.02255639061331749","0.02255639061331749","0.02255639061331749","1831","1831","1831"
"292","0.09929078072309494","0.09929078072309494","0.09929078072309494","1832","1832","1832"
"293","0","0","0","1833","1833","1833"
"294","0.03305784985423088","0.03305784985423088","0.03305784985423088","1834","1834","1834"
"295","0.014035088010132313","0.014035088010132313","0.014035088010132313","1835","1835","1835"
"296","0.007042253389954567","0.007042253389954567","0.007042253389954567","1836","1836","1836"
"297","0.0235294122248888","0.0235294122248888","0.0235294122248888","1837","1837","1837"
"298","0.0154440151527524","0.0154440151527524","0.0154440151527524","1838","1838","1838"
"299","0","0","0","1839","1839","1839"
"300","0.02527075819671154","0.02527075819671154","0.02527075819671154","1840","1840","1840"
"301","0.02459016442298889","0.02459016442298889","0.02459016442298889","1841","1841","1841"
"302","0.017921147868037224","0.017921147868037224","0.017921147868037224","1842","1842","1842"
"303","0","0","0","1843","1843","1843"
"304","0.011450381949543953","0.011450381949543953","0.011450381949543953","1844","1844","1844"
"305","0","0","0","1845","1845","1845"
"306","0.060070671141147614","0.060070671141147614","0.060070671141147614","1846","1846","1846"
"307","0","0","0","2001","2001","2001"
"308","0.01587301678955555","0.01587301678955555","0.01587301678955555","2002","2002","2002"
"309","0.060070671141147614","0.060070671141147614","0.060070671141147614","2003","2003","2003"
"310","0.017793593928217888","0.017793593928217888","0.017793593928217888","2004","2004","2004"
"311","0.04065040498971939","0.04065040498971939","0.04065040498971939","2005","2005","2005"
"312","0.11355311423540115","0.11355311423540115","0.11355311423540115","2006","2006","2006"
"313","0.03546099364757538","0.03546099364757538","0.03546099364757538","2007","2007","2007"
"314","0.01123595517128706","0.01123595517128706","0.01123595517128706","2008","2008","2008"
"315","0.008097166195511818","0.008097166195511818","0.008097166195511818","2009","2009","2009"
"316","0.01056338008493185","0.01056338008493185","0.01056338008493185","2010","2010","2010"
"317","0.003508772002533078","0.003508772002533078","0.003508772002533078","2011","2011","2011"
"318","0","0","0","2012","2012","2012"
"319","0.04135338217020035","0.04135338217020035","0.04135338217020035","2013","2013","2013"
"320","0.003546099178493023","0.003546099178493023","0.003546099178493023","2014","2014","2014"
"321","0.011029412038624287","0.011029412038624287","0.011029412038624287","2015","2015","2015"
"322","0.03305784985423088","0.03305784985423088","0.03305784985423088","2016","2016","2016"
"323","0","0","0","2017","2017","2017"
"324","0.017605634406208992","0.017605634406208992","0.017605634406208992","2018","2018","2018"
"325","0","0","0","2019","2019","2019"
"326","0.027027027681469917","0.027027027681469917","0.027027027681469917","2020","2020","2020"
"327","0.021276595070958138","0.021276595070958138","0.021276595070958138","2021","2021","2021"
"328","0.003610108280554414","0.003610108280554414","0.003610108280554414","2022","2022","2022"
"329","0.032786883413791656","0.032786883413791656","0.032786883413791656","2023","2023","2023"
"330","0.00358422938734293","0.00358422938734293","0.00358422938734293","2024","2024","2024"
"331","0.0035335689317435026","0.0035335689317435026","0.0035335689317435026","2025","2025","2025"
"332","0.007633587811142206","0.007633587811142206","0.007633587811142206","2026","2026","2026"
"333","0.02777777798473835","0.02777777798473835","0.02777777798473835","2027","2027","2027"
"334","0","0","0","2028","2028","2028"
"335","0","0","0","2183","2183","2183"
"336","0.011904762126505375","0.011904762126505375","0.011904762126505375","2184","2184","2184"
"337","0.010600706562399864","0.010600706562399864","0.010600706562399864","2185","2185","2185"
"338","0","0","0","2186","2186","2186"
"339","0.060975611209869385","0.060975611209869385","0.060975611209869385","2187","2187","2187"
"340","0.0036630036775022745","0.0036630036775022745","0.0036630036775022745","2188","2188","2188"
"341","0","0","0","2189","2189","2189"
"342","0","0","0","2190","2190","2190"
"343","0","0","0","2191","2191","2191"
"344","0.014084506779909134","0.014084506779909134","0.014084506779909134","2192","2192","2192"
"345","0.003508772002533078","0.003508772002533078","0.003508772002533078","2193","2193","2193"
"346","0","0","0","2194","2194","2194"
"347","0.007518797181546688","0.007518797181546688","0.007518797181546688","2195","2195","2195"
"348","0","0","0","2196","2196","2196"
"349","0","0","0","2197","2197","2197"
"350","0","0","0","2198","2198","2198"
"351","0","0","0","2199","2199","2199"
"352","0","0","0","2200","2200","2200"
